[INFO ] 2016-05-03 00:01:02,444 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.10:1462251660400 || time stamp: 1462251662444 || heartbeat: 6 || status: true
[INFO ] 2016-05-03 00:01:02,444 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.11:1462251659001 || time stamp: 1462251662026 || heartbeat: 8 || status: true
[INFO ] 2016-05-03 00:01:02,445 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-2 Sent packet form machine ip : 130.126.28.10 to machine ip : 130.126.28.11
[INFO ] 2016-05-03 00:01:02,446 com.dataStore.main.Node.class pool-1-thread-4 Found a lower Id. 130.126.28.11:1462251659001
[INFO ] 2016-05-03 00:01:02,447 com.dataStore.scheduler.ListScanThread.class pool-1-thread-4 Sending Election message
[INFO ] 2016-05-03 00:01:02,447 com.dataStore.election.ElectionSenderThread.class Thread-15 ElectionSenderThread initialzing....
[INFO ] 2016-05-03 00:01:02,448 com.dataStore.election.ElectionSenderThread.class Thread-15 Sending election message to machine: 130.126.28.11:1462251659001
[INFO ] 2016-05-03 00:01:02,471 com.dataStore.election.ElectionListenerThread.class Thread-2 ElectionListenerThread received message : ok
[INFO ] 2016-05-03 00:01:02,471 com.dataStore.election.ElectionListenerThread.class Thread-2 Received OK message
[INFO ] 2016-05-03 00:01:02,473 com.dataStore.election.ElectionListenerThread.class Thread-2 ElectionListenerThread received message : NEW LEADER :[130.126.28.11:1462251659001]
[INFO ] 2016-05-03 00:01:02,525 com.dataStore.gossip.GossipListenerThread.class Thread-1 Received packet from: /130.126.28.11 at port: 43370
[INFO ] 2016-05-03 00:01:02,525 com.dataStore.gossip.GossipListenerThread.class Thread-1 ******machineId = 130.126.28.10:1462251660400 Heartbeat = 6 ****************
[INFO ] 2016-05-03 00:01:02,525 com.dataStore.gossip.GossipListenerThread.class Thread-1 ******machineId = 130.126.28.11:1462251659001 Heartbeat = 9 ****************
[INFO ] 2016-05-03 00:01:02,944 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.10:1462251660400 || time stamp: 1462251662944 || heartbeat: 7 || status: true
[INFO ] 2016-05-03 00:01:02,944 com.dataStore.gossip.GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.11:1462251659001 || time stamp: 1462251662526 || heartbeat: 9 || status: true
